type_transaction,type_bien,prix,surface,nb_pieces,ville,code_postal,description,source
location,Appartement,815,40,1,Tours,37000,,entreparticuliers
location,Appartement,619,64,3,Fontès,34320,,entreparticuliers
location,Appartement,800,48,2,Angers,49000,,entreparticuliers
location,Appartement,480,16,1,Nantes,44000,,entreparticuliers
location,Appartement,640,42,2,Metz,57000,,entreparticuliers
location,Appartement,840,51,2,Orléans,45000,,entreparticuliers
location,Appartement,735,44,2,Montpellier,34000,,entreparticuliers
location,Appartement,735,29,2,Nantes,44000,,entreparticuliers
location,Appartement,890,60,2,Nantes,44000,,entreparticuliers
location,Appartement,500,20,1,Vélizy-Villacoublay,78140,,entreparticuliers
location,Appartement,450,24,1,Poitiers,86000,,entreparticuliers
location,Appartement,1080,36,2,Nice,06000,,entreparticuliers
location,Appartement,1220,65,3,Écully,69130,,entreparticuliers
location,Appartement,658,44,2,Angers,49000,,entreparticuliers
location,Appartement,580,24,1,Aix-en-Provence,13080,,entreparticuliers
location,Appartement,780,25,1,Gennevilliers,92230,,entreparticuliers
location,Appartement,500,52,3,Pont-Saint-Esprit,30130,,entreparticuliers
location,Appartement,990,100,4,Savigny-en-Revermont,71580,,entreparticuliers
location,Appartement,850,27,1,Créteil,94000,,entreparticuliers
location,Appartement,370,20,1,Châlons-en-Champagne,51000,,entreparticuliers
location,Appartement,1290,39,2,Boulogne-Billancourt,92100,,entreparticuliers
location,Appartement,465,35,1,Sauternes,33210,,entreparticuliers
location,Appartement,600,24,2,Grand-Aigueblanche,73260,,entreparticuliers
location,Appartement,676,83,4,Clermont-Ferrand,63000,,entreparticuliers
location,Appartement,530,53,3,Mazamet,81200,,entreparticuliers
location,Appartement,750,15,1,Paris,75001,,entreparticuliers
location,Appartement,400,11,1,Nancy,54000,,entreparticuliers
location,Appartement,660,49,2,Nantes,44000,,entreparticuliers
location,Appartement,450,21,1,Poitiers,86000,,entreparticuliers
location,Appartement,450,45,2,Guîtres,33230,,entreparticuliers
location,Appartement,805,14,1,Colombes,92700,,entreparticuliers
location,Appartement,650,31,2,Grenoble,38000,,entreparticuliers
location,Appartement,600,41,2,Strasbourg,67000,,entreparticuliers
location,Appartement,650,18,1,Nanterre,92000,,entreparticuliers
location,Appartement,865,70,3,Grenoble,38000,,entreparticuliers
location,Appartement,1100,37,2,Bussy-Saint-Georges,77600,,entreparticuliers
location,Appartement,680,54,3,Martigues,13117,,entreparticuliers
location,Appartement,1050,53,2,Cergy,95000,,entreparticuliers
location,Appartement,535,42,2,Verneuil d'Avre et d'Iton,27130,,entreparticuliers
location,Appartement,845,27,1,Châtillon,92320,,entreparticuliers
location,Appartement,650,31,2,Bordeaux,33000,,entreparticuliers
location,Appartement,695,15,1,Paris,75001,,entreparticuliers
location,Appartement,1300,61,3,Bordeaux,33000,,entreparticuliers
location,Appartement,400,22,1,Coutras,33230,,entreparticuliers
location,Maison,810,29,1,L'Haÿ-les-Roses,94240,,entreparticuliers
location,Appartement,850,20,2,Paris,75001,,entreparticuliers
location,Appartement,1191,64,3,Mandelieu-la-Napoule,06210,,entreparticuliers
location,Appartement,1127,66,3,Cannes,06150,,entreparticuliers
location,Appartement,967,32,1,Paris,75001,,entreparticuliers
location,Appartement,1023,33,2,Boulogne-Billancourt,92100,,entreparticuliers
location,Appartement,650,33,2,Toulon,83000,,entreparticuliers
location,Appartement,620,45,2,Mulhouse,68100,,entreparticuliers
location,Appartement,410,33,1,Calais,62100,,entreparticuliers
location,Appartement,839,30,2,Gennevilliers,92230,,entreparticuliers
location,Appartement,291,17,1,Troyes,10000,,entreparticuliers
location,Appartement,653,59,3,Troyes,10000,,entreparticuliers
location,Appartement,776,47,2,Zonza,20124,,entreparticuliers
location,Appartement,1100,38,1,Versailles,78000,,entreparticuliers
location,Appartement,600,29,1,Rennes,35000,,entreparticuliers
location,Appartement,890,49,2,Nantes,44000,,entreparticuliers
location,Appartement,490,61,3,Sainte-Sigolène,43600,,entreparticuliers
location,Appartement,720,80,4,Perpignan,66000,,entreparticuliers
location,Appartement,480,22,1,Figeac,46100,,entreparticuliers
location,Appartement,1200,52,3,Maisons-Laffitte,78600,,entreparticuliers
location,Appartement,2400,54,3,Paris,75001,,entreparticuliers
location,Appartement,1050,27,2,Courbevoie,92400,,entreparticuliers
location,Appartement,2100,65,3,Beausoleil,06240,,entreparticuliers
location,Appartement,900,45,2,Thorigny-sur-Marne,77400,,entreparticuliers
location,Appartement,613,21,1,Bordeaux,33000,,entreparticuliers
location,Appartement,597,24,1,Bordeaux,33000,,entreparticuliers
location,Appartement,1134,61,2,Lyon,69001,,entreparticuliers
location,Appartement,1050,27,1,Boulogne-Billancourt,92100,,entreparticuliers
location,Appartement,1290,65,4,Aix-en-Provence,13080,,entreparticuliers
location,Appartement,1064,54,3,Lille,59000,,entreparticuliers
location,Appartement,1000,41,2,Nice,06000,,entreparticuliers
location,Appartement,600,21,1,Grabels,34790,,entreparticuliers
location,Appartement,780,33,2,Deuil-la-Barre,95170,,entreparticuliers
location,Appartement,530,20,1,Montpellier,34000,,entreparticuliers
location,Appartement,750,37,2,Villebon-sur-Yvette,91140,,entreparticuliers
location,Appartement,400,23,1,Saint-Lambert-la-Potherie,49070,,entreparticuliers
location,Appartement,530,21,1,Annecy,74000,,entreparticuliers
location,Maison,900,86,4,Étival-Clairefontaine,88480,,entreparticuliers
location,Appartement,445,21,1,Nîmes,30000,,entreparticuliers
location,Appartement,550,57,2,Cognac,16100,,entreparticuliers
location,Appartement,750,80,3,Tenay,01230,,entreparticuliers
location,Appartement,2068,55,3,Combloux,74920,,entreparticuliers
location,Appartement,2056,45,3,Combloux,74920,,entreparticuliers
location,Appartement,573,23,1,Bordeaux,33000,,entreparticuliers
location,Appartement,420,25,1,Dax,40100,,entreparticuliers
location,Appartement,595,32,2,Muret,31600,,entreparticuliers
location,Appartement,501,28,1,Toulouse,31000,,entreparticuliers
location,Appartement,790,60,3,Toulouse,31000,,entreparticuliers
location,Appartement,1033,40,2,Montreuil,93100,,entreparticuliers
location,Appartement,515,19,1,Toulouse,31000,,entreparticuliers
location,Appartement,600,40,2,Saint-Sébastien-sur-Loire,44230,,entreparticuliers
location,Appartement,700,27,1,Clamart,92140,,entreparticuliers
location,Appartement,650,29,1,Ramonville-Saint-Agne,31520,,entreparticuliers
location,Appartement,556,31,2,Strasbourg,67000,,entreparticuliers
location,Appartement,644,37,2,Toulouse,31000,,entreparticuliers
location,Appartement,563,20,1,Strasbourg,67000,,entreparticuliers
location,Appartement,689,52,2,Eschau,67114,,entreparticuliers
location,Appartement,800,43,2,Sathonay-Camp,69580,,entreparticuliers
location,Appartement,773,33,1,Lyon,69001,,entreparticuliers
location,Appartement,858,43,2,Bobigny,93000,,entreparticuliers
location,Appartement,560,24,1,Pessac,33400,,entreparticuliers
location,Appartement,575,28,2,Ambès,33810,,entreparticuliers
location,Appartement,99000,29,1,Villeurbanne,69100,,entreparticuliers
location,Appartement,538,36,3,Creil,60100,,entreparticuliers
location,Appartement,630,29,1,Metz,57000,,entreparticuliers
location,Appartement,16000,205,6,Paris,75001,,entreparticuliers
location,Appartement,495,48,2,Saint-Marcellin,38160,,entreparticuliers
location,Appartement,780,59,3,Douai,59500,,entreparticuliers
location,Appartement,560,44,2,Tourcoing,59200,,entreparticuliers
location,Appartement,590,48,2,Sorgues,84700,,entreparticuliers
location,Appartement,490,26,1,Arras,62000,,entreparticuliers
location,Maison,780,110,4,Goupil-Othon,27170,,entreparticuliers
location,Maison,730,60,3,Menton,06500,,entreparticuliers
location,Appartement,520,24,1,Niort,79000,,entreparticuliers
location,Appartement,1050,63,3,Bondy,93140,,entreparticuliers
