"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 19E (75019)";"360000";"38";"2";"1";"PARC DES BUTTES CHAUMONT - BIEN RARE !  À deux pas du parc des Buttes Chaumont et du métro Ourcq, découvrez ce charmant T2 de 38 m², situé au 1ᵉʳ étage d'un immeuble haussmannien.  Cet appartement..."
"ventes-appartements";"Paris 15E (75015)";"580000";"82";"4";"2";"Quartier Convention / Dantzig  **Bien familial de 82m² au calme** dans une copropriété bien entretenue,  proche du métro Convention et de tous les commerces, bonnes écoles, marché 3 fois/semaine."
"ventes-appartements";"Paris 10E (75010)";"230000";"22";"2";"1";"Appartement lumineux traversant orienté Sud Comprenant : Entrée couloir  1 salle séjour équipé 1 canapé lit confortable, armoires de rangement  ,1 table en verre ,4 chaises. Chauffage électrique bain..."
"ventes-appartements";"Paris 20E (75020)";"795000";"94";"4";"3";"Nous vendons notre appartement de 4 pièces situé à Porte de Bagnolet. L'appartement en parfait état est constitué de 3 chambres (10-12-14m2), 1 salle d'eau et 1 salle de bain et se trouve dans une..."
"ventes-appartements";"Paris 20E (75020)";"170000";"17.80";"1";"";"Charmant studio meublé 17,8 m² – lumineux et cosy – entièrement rénové en 2025 -Paris 20è  À vendre, studio meublé de 17,8 m² plein de charme, idéalement situé rue du Capitaine Ferber, près de la..."
"ventes-appartements";"Paris 20E (75020)";"148000";"16";"1";"";"À VENDRE – STUDIO 16 m² – AU PIED DU MÉTRO Idéalement situé au pied du métro Saint Fargeau, rue Haxo, au 6ᵉ étage d'un immeuble bien entretenu (sans ascenseur), découvrez ce studio traversant de 16..."
"ventes-appartements";"Paris 20E (75020)";"168000";"17";"1";"";"Charmant studio de caractère dans un immeuble de standing doté d'un hall d'entrée spacieux avec double digicode. Situé au RDC sur cour, calme, sécurisé et clair, il séduit par sa belle hauteur sous..."
"ventes-appartements";"Paris 20E (75020)";"280000";"30";"2";"1";"Appartement Village Jourdain, Paris 20ᵉ 2 pièces, 30 m² - 280 000 €  Au pied du métro Jourdain, 2 pièces de 29,69 m² loi Carrez : 22,80 m² en propriété + 6,89 m² en jouissance exclusive (donc exonéré..."
"ventes-appartements";"Paris 14E (75014)";"425000";"42.38";"2";"1";"Situé rue Henri Regnault, au cœur du XIVème arrondissement, au 3ème étage (sans ascenseur) d'un immeuble de caractère des années 30, cet appartement d'une surface de 42,38 m2 Carrez vient d'être..."
"ventes-appartements";"Paris 17E (75017) Rue Cernuschi";"1480000";"125";"5";"3";"Au 3ème étage sur cinq d'un immeuble haussmannien de bon standing dans le quartier de la Plaine Monceau. Immeuble en pierre de taille avec ascenseur, gardienné et bien entretenu.  Une galerie..."
"ventes-appartements";"Paris 13E (75013)";"463500";"52.81";"3";"2";"“Paris – Parc Montsouris – 3 pièces 53 m² très lumineux Est/Ouest – cave ”  À seulement une rue du Parc Montsouris, dans un quartier très recherché pour sa qualité de vie, découvrez ce charmant..."
"ventes-appartements";"Paris 18E (75018)";"415000";"41";"2";"1";"PARIS 18ᵉ – Boulevard Ney  Dernier étage avec ascenseur.  À Paris, sur le Boulevard Ney, au 6ᵉ et dernier étage avec ascenseur, découvrez ce 2 pièces de 41 m², entièrement repensé et rénové avec des..."
